source,destination,relationshipType,distance
chair,empty,adjective_predicates,6.570
chair,wheel,modifiers,7.920
chair,table,modifiers,7.350
chair,rock,object_verb,9.390
chair,bob,is_X,6.640
chair,fox,X_is,6.620
chair,take,X_is,6.500
chair,bring,verb_phrase,7.260
chair,table,and_or,10.530
chair,desk,and_or,8.680
chair,sofa,and_or,8.090
chair,blanket,and_or,7.990
chair,couch,and_or,7.550
chair,bed,and_or,7.210
chair,captain,possessor_of_x,10.220
chair,dentist,possessor_of_x,9.530
chair,pilot,possessor_of_x,7.160
chair,laugh,subject_verb,5.260
chair,sit,subject_verb,5.200
chair,lift,modified_noun,7.730
chair,table,modified_noun,6.390
chair,sofa,modified_noun,6.300
captain,angry,adjective_predicates,3.920
captain,ship,modifiers,7.560
captain,boat,modifiers,7.490
captain,cricket,modifiers,6.610
captain,sea,modifiers,6.200
captain,whale,object_verb,4.880
captain,ring,object_verb,4.690
captain,grandfather,is_X,7.450
captain,pilot,X_is,7.290
captain,man,X_is,4.920
captain,pilot,and_or,6.850
captain,sailor,and_or,6.350
captain,ship,possessor_of_x,10.330
captain,boat,possessor_of_x,8.870
captain,plane,possessor_of_x,7.040
captain,sentence,subject_verb,6.250
captain,shout,subject_verb,5.090
captain,nod,subject_verb,5.020
captain,smile,subject_verb,4.710
captain,shake,subject_verb,4.300
captain,cook,modified_noun,8.590
hate,strong,adjective_predicates,2.550
hate,deep,adjective_predicates,1.270
hate,alive,adjective_predicates,1.260
hate,bad,adjective_predicates,0.930
hate,good,adjective_predicates,0.720
hate,great,adjective_predicates,0.690
hate,wrong,adjective_predicates,0.610
hate,pet,modifiers,6.550
hate,love,is_X,6.880
hate,love,X_is,5.620
hate,girl,X_is,4.640
hate,take,verb_phrase,10.560
hate,fear,and_or,7.060
hate,father,possessor_of_x,0.690
milk,fat,adjective_predicates,7.160
milk,chocolate,adjective_predicates,6.680
milk,sour,adjective_predicates,6.640
milk,sweet,adjective_predicates,6.240
milk,fresh,adjective_predicates,6.140
milk,chocolate,modifiers,8.330
milk,goat,modifiers,8.290
milk,cow,modifiers,8.050
milk,drink,object_verb,8.960
milk,spill,object_verb,7.890
milk,pour,object_verb,7.640
milk,flavor,object_verb,7.380
milk,yogurt,is_X,8.090
milk,cheese,is_X,7.590
milk,drink,is_X,7.430
milk,cow,is_X,7.430
milk,chocolate,is_X,7.120
milk,food,X_is,9.120
milk,drink,X_is,9.060
milk,snack,X_is,7.640
milk,throw,verb_phrase,5.590
milk,give,verb_phrase,3.260
milk,take,verb_phrase,2.190
milk,egg,and_or,9.660
milk,meat,and_or,9.410
milk,cheese,and_or,9.150
milk,yogurt,and_or,8.980
milk,juice,and_or,8.880
milk,butter,and_or,8.870
milk,bread,and_or,8.270
milk,cow,possessor_of_x,12.920
milk,goat,possessor_of_x,11.420
milk,mother,possessor_of_x,9.390
milk,sheep,possessor_of_x,9.210
milk,camel,possessor_of_x,8.700
milk,buffalo,possessor_of_x,7.070
milk,donkey,possessor_of_x,6.660
milk,shake,subject_verb,7.400
milk,cool,subject_verb,5.790
milk,dry,subject_verb,5.700
milk,feed,subject_verb,5.350
milk,taste,subject_verb,5.150
milk,spill,subject_verb,4.990
milk,cheese,modified_noun,8.470
milk,chocolate,modified_noun,8.430
milk,yogurt,modified_noun,7.740
milk,cow,modified_noun,7.560
milk,egg,modified_noun,7.530
violin,hard,adjective_predicates,0.470
violin,close,adjective_predicates,0.190
violin,flute,modifiers,8.740
violin,piano,modifiers,7.840
violin,play,object_verb,6.380
violin,bow,object_verb,4.630
violin,soar,object_verb,4.250
violin,piano,and_or,10.600
violin,flute,and_or,9.480
violin,guitar,and_or,8.850
violin,trumpet,and_or,8.140
violin,grandfather,possessor_of_x,4.620
violin,father,possessor_of_x,1.760
violin,world,possessor_of_x,1.330
violin,bow,subject_verb,4.990
violin,sound,subject_verb,3.860
violin,play,subject_verb,3.670
violin,sing,subject_verb,3.550
violin,flute,modified_noun,7.640
violin,piano,modified_noun,7.500
careful,clean,and_or,5.010
careful,be,modifiers,7.750
careful,be,modifiers,6.790
careful,so,modifiers,3.750
careful,bee,modifiers,2.960
careful,because,modified_noun,6.770
careful,with,modified_noun,4.170
careful,not,modified_noun,3.440
yummy,tasty,modifiers,7.310
yummy,yum,modifiers,6.250
yummy,sleepy,modifiers,5.480
yummy,so,modifiers,4.790
yummy,tummy,modifiers,4.060
yummy,pumpkin,modifiers,3.290
yummy,pie,modifiers,2.630
yummy,tasty,modifiers,2.370
yummy,sound,object_verb,1.730
yummy,look,object_verb,0.740
yummy,food,is_X,2.710
yummy,pumpkin,and_or,3.570
yummy,cake,and_or,1.840
yummy,coffee,and_or,1.080
yummy,treat,subject_verb,0.170
yummy,tummy,modified_noun,7.130
nineteen,drop,modifiers,1.450
nineteen,restaurant,modifiers,0.800
nineteen,four,modified_noun,7.010
hump,bridge,adjective_predicates,9.530
hump,camel,modifiers,6.340
hump,camel,modifiers,5.650
hump,fly,object_verb,2.290
hump,get,verb_phrase,7.550
hump,bump,and_or,8.240
hump,dip,and_or,5.730
hump,camel,possessor_of_x,11.010
hump,whale,possessor_of_x,6.140
hump,whale,subject_verb,5.920
hump,back,subject_verb,3.230
hump,store,subject_verb,1.570
hump,camel,modified_noun,6.010
hump,bump,modified_noun,4.490
hump,whale,modified_noun,3.760
hump,yard,modified_noun,3.300
cavity,empty,adjective_predicates,4.760
cavity,line,object_verb,6.630
cavity,nest,object_verb,6.440
cavity,seal,object_verb,5.250
cavity,ear,is_X,7.850
cavity,mouth,is_X,6.710
cavity,wall,is_X,4.300
cavity,mirror,X_is,6.980
cavity,foot,X_is,3.780
cavity,close,verb_phrase,5.430
cavity,mouse,possessor_of_x,6.680
cavity,fish,possessor_of_x,6.570
cavity,patient,possessor_of_x,5.320
cavity,bird,possessor_of_x,4.520
cavity,body,possessor_of_x,3.130
cavity,baby,possessor_of_x,2.330
cavity,person,possessor_of_x,0.650
cavity,nest,subject_verb,8.290
cavity,wall,subject_verb,6.430
cavity,mirror,subject_verb,4.350
cavity,dig,subject_verb,4.220
cavity,wall,modified_noun,6.190
father,alive,adjective_predicates,7.590
father,angry,adjective_predicates,7.330
father,sick,adjective_predicates,7.220
father,mother,modifiers,8.520
father,my,modifiers,8.190
father,our,modifiers,8.050
father,lose,object_verb,6.370
father,man,is_X,8.210
father,farmer,X_is,8.990
father,man,X_is,8.870
father,doctor,X_is,8.240
father,teacher,X_is,8.030
father,mother,and_or,11.380
father,grandfather,and_or,9.380
father,brother,and_or,9.200
father,uncle,and_or,8.090
father,sister,and_or,7.460
father,grandmother,and_or,6.540
father,boy,possessor_of_x,9.030
father,girl,possessor_of_x,8.050
father,baby,possessor_of_x,7.970
father,friend,possessor_of_x,7.540
father,light,possessor_of_x,7.100
father,love,subject_verb,6.980
father,give,subject_verb,6.280
father,buy,subject_verb,5.970
father,mother,modified_noun,7.830
father,grandfather,modified_noun,7.190
father,brother,modified_noun,7.120
cloudy,windy,and_or,9.510
cloudy,sunny,and_or,8.490
cloudy,cool,and_or,5.010
cloudy,afternoon,and_or,3.830
cloudy,sunny,modifiers,4.550
cloudy,windy,modified_noun,7.660
tickle,hug,modifiers,6.440
tickle,tummy,modifiers,6.030
tickle,dog,X_is,4.420
tickle,wiggle,and_or,7.230
tickle,tie,subject_verb,2.150
tickle,pickle,modified_noun,6.410
tickle,trunk,modified_noun,5.290
to,how,modifiers,7.010
to,stretch,modifiers,5.090
to,go,modifiers,4.560
to,star,modifiers,2.570
to,go,modifiers,0.690
to,hare,subject_verb,7.930
tail,square,adjective_predicates,7.340
tail,brown,adjective_predicates,7.330
tail,black,adjective_predicates,7.200
tail,white,adjective_predicates,7.040
tail,long,adjective_predicates,6.950
tail,gray,adjective_predicates,6.690
tail,pony,modifiers,9.490
tail,fairy,modifiers,8.570
tail,lobster,modifiers,8.250
tail,coat,modifiers,7.900
tail,long,modifiers,6.750
tail,chase,object_verb,8.390
tail,fork,object_verb,7.280
tail,bite,object_verb,6.850
tail,head,is_X,5.730
tail,dark,X_is,7.720
tail,brown,X_is,7.550
tail,gray,X_is,7.530
tail,leg,X_is,7.390
tail,orange,X_is,7.130
tail,white,X_is,6.740
tail,wing,and_or,9.420
tail,ear,and_or,8.970
tail,fin,and_or,8.240
tail,leg,and_or,7.830
tail,head,and_or,7.800
tail,horn,and_or,7.390
tail,peacock,possessor_of_x,9.700
tail,rat,possessor_of_x,8.870
tail,horse,possessor_of_x,8.850
tail,whale,possessor_of_x,8.820
tail,tiger,possessor_of_x,8.800
tail,lizard,possessor_of_x,8.650
tail,snake,possessor_of_x,8.520
tail,bite,subject_verb,6.120
tail,feather,modified_noun,9.200
tail,fin,modified_noun,7.590
tail,lamp,modified_noun,6.540
bike,light,adjective_predicates,6.490
bike,heavy,adjective_predicates,6.410
bike,mountain,modifiers,9.490
bike,exercise,modifiers,7.790
bike,ride,object_verb,11.540
bike,park,object_verb,7.980
bike,race,object_verb,7.060
bike,walk,object_verb,6.930
bike,buy,object_verb,6.570
bike,fix,object_verb,6.080
bike,twist,is_X,10.400
bike,bicycle,is_X,7.680
bike,bicycle,X_is,8.620
bike,toy,X_is,8.460
bike,take,verb_phrase,7.830
bike,swim,and_or,8.740
bike,car,and_or,8.390
bike,walk,and_or,8.180
bike,run,and_or,7.930
bike,foot,and_or,7.790
bike,bus,and_or,7.610
bike,ride,subject_verb,8.740
bike,race,subject_verb,6.650
bike,share,subject_verb,5.540
bike,ride,modified_noun,10.030
bike,shop,modified_noun,8.040
those,car,and_or,2.170
those,one,and_or,1.330
those,wait,subject_verb,1.460
those,wish,subject_verb,0.420
those,which,modified_noun,8.020
those,were,modified_noun,7.340
those,under,modified_noun,6.050
dirty,then,modifiers,5.970
dirty,talk,object_verb,3.620
dirty,get,object_verb,0.200
dirty,quick,and_or,9.260
dirty,naughty,and_or,7.750
dirty,sick,and_or,7.150
dirty,down,and_or,6.570
dirty,talk,subject_verb,2.560
melon,sweet,adjective_predicates,3.970
melon,big,adjective_predicates,1.110
melon,small,adjective_predicates,0.280
melon,bitter,modifiers,8.990
melon,cucumber,modifiers,8.250
melon,bitter,modifiers,8.050
melon,watermelon,modifiers,7.510
melon,scrub,object_verb,5.350
melon,cup,object_verb,4.480
melon,watermelon,is_X,9.830
melon,fruit,is_X,5.860
melon,fruit,X_is,6.570
melon,watermelon,and_or,9.220
melon,cucumber,and_or,9.050
melon,pineapple,and_or,8.130
melon,grape,and_or,7.910
melon,pumpkin,and_or,7.750
melon,strawberry,and_or,7.530
melon,shark,possessor_of_x,6.770
melon,bounce,subject_verb,4.440
melon,taste,subject_verb,2.820
melon,shake,subject_verb,2.110
melon,rest,subject_verb,1.870
melon,grow,subject_verb,1.100
melon,watermelon,modified_noun,7.810
melon,cucumber,modified_noun,7.720
melon,great,modified_noun,7.470
melon,pineapple,modified_noun,7.230
smile,bright,adjective_predicates,7.530
smile,warm,modifiers,7.940
smile,bright,modifiers,7.620
smile,shy,modifiers,7.500
smile,put,object_verb,6.770
smile,bring,object_verb,6.700
smile,wipe,object_verb,6.620
smile,wear,object_verb,6.140
smile,hide,object_verb,5.940
smile,face,is_X,7.620
smile,umbrella,X_is,7.970
smile,ear,X_is,7.240
smile,light,X_is,5.410
smile,take,verb_phrase,3.970
smile,give,verb_phrase,3.260
smile,laugh,and_or,9.710
smile,hug,and_or,9.630
smile,nod,and_or,9.010
smile,eye,and_or,8.480
smile,tear,and_or,8.100
smile,giggle,and_or,7.750
smile,wink,and_or,7.610
smile,light,subject_verb,7.830
smile,hug,modified_noun,7.780
smile,yes,modified_noun,7.560
smile,laugh,modified_noun,7.350
smile,train,modified_noun,6.550
sloth,cute,adjective_predicates,3.450
sloth,slow,adjective_predicates,2.670
sloth,knock,object_verb,1.790
sloth,animal,is_X,4.350
sloth,animal,X_is,5.570
sloth,shake,verb_phrase,4.900
sloth,toucan,and_or,8.490
sloth,monkey,and_or,8.050
sloth,poop,subject_verb,4.580
sloth,bear,subject_verb,3.620
sloth,climb,subject_verb,2.560
sloth,sleep,subject_verb,2.360
sloth,eat,subject_verb,1.250
sloth,pull,subject_verb,0.440
sloth,toucan,modified_noun,8.160
sloth,bear,modified_noun,7.830
playground,empty,adjective_predicates,3.990
playground,park,modifiers,6.130
playground,them,object_verb,4.800
playground,build,object_verb,4.560
playground,world,is_X,6.400
